Series ID,Year,Period,Label,Value
CXUTOTALEXPLB0402M,2001,A01,2001 Annual,23526
CXUTOTALEXPLB0402M,2002,A01,2002 Annual,24229
CXUTOTALEXPLB0402M,2003,A01,2003 Annual,22396
CXUTOTALEXPLB0402M,2004,A01,2004 Annual,24535
CXUTOTALEXPLB0402M,2005,A01,2005 Annual,27776
CXUTOTALEXPLB0402M,2006,A01,2006 Annual,28181
CXUTOTALEXPLB0402M,2007,A01,2007 Annual,29457
CXUTOTALEXPLB0402M,2008,A01,2008 Annual,29325
CXUTOTALEXPLB0402M,2009,A01,2009 Annual,28119
CXUTOTALEXPLB0402M,2010,A01,2010 Annual,27483
CXUTOTALEXPLB0402M,2011,A01,2011 Annual,29912
CXUTOTALEXPLB0402M,2012,A01,2012 Annual,31411
CXUTOTALEXPLB0402M,2013,A01,2013 Annual,30373
CXUTOTALEXPLB0402M,2014,A01,2014 Annual,32179
CXUTOTALEXPLB0402M,2015,A01,2015 Annual,32797
CXUTOTALEXPLB0402M,2016,A01,2016 Annual,34438
CXUTOTALEXPLB0403M,2001,A01,2001 Annual,39451
CXUTOTALEXPLB0403M,2002,A01,2002 Annual,40318
CXUTOTALEXPLB0403M,2003,A01,2003 Annual,40525
CXUTOTALEXPLB0403M,2004,A01,2004 Annual,42701
CXUTOTALEXPLB0403M,2005,A01,2005 Annual,45068
CXUTOTALEXPLB0403M,2006,A01,2006 Annual,47582
CXUTOTALEXPLB0403M,2007,A01,2007 Annual,47510
CXUTOTALEXPLB0403M,2008,A01,2008 Annual,48159
CXUTOTALEXPLB0403M,2009,A01,2009 Annual,46494
CXUTOTALEXPLB0403M,2010,A01,2010 Annual,46617
CXUTOTALEXPLB0403M,2011,A01,2011 Annual,48097
CXUTOTALEXPLB0403M,2012,A01,2012 Annual,49544
CXUTOTALEXPLB0403M,2013,A01,2013 Annual,48087
CXUTOTALEXPLB0403M,2014,A01,2014 Annual,49547
CXUTOTALEXPLB0403M,2015,A01,2015 Annual,52062
CXUTOTALEXPLB0403M,2016,A01,2016 Annual,52838
CXUTOTALEXPLB0404M,2001,A01,2001 Annual,46908
CXUTOTALEXPLB0404M,2002,A01,2002 Annual,48330
CXUTOTALEXPLB0404M,2003,A01,2003 Annual,47175
CXUTOTALEXPLB0404M,2004,A01,2004 Annual,50402
CXUTOTALEXPLB0404M,2005,A01,2005 Annual,55190
CXUTOTALEXPLB0404M,2006,A01,2006 Annual,57476
CXUTOTALEXPLB0404M,2007,A01,2007 Annual,58934
CXUTOTALEXPLB0404M,2008,A01,2008 Annual,58808
CXUTOTALEXPLB0404M,2009,A01,2009 Annual,57301
CXUTOTALEXPLB0404M,2010,A01,2010 Annual,55946
CXUTOTALEXPLB0404M,2011,A01,2011 Annual,57271
CXUTOTALEXPLB0404M,2012,A01,2012 Annual,58069
CXUTOTALEXPLB0404M,2013,A01,2013 Annual,58784
CXUTOTALEXPLB0404M,2014,A01,2014 Annual,62512
CXUTOTALEXPLB0404M,2015,A01,2015 Annual,65334
CXUTOTALEXPLB0404M,2016,A01,2016 Annual,66444
CXUTOTALEXPLB0405M,2001,A01,2001 Annual,47930
CXUTOTALEXPLB0405M,2002,A01,2002 Annual,48748
CXUTOTALEXPLB0405M,2003,A01,2003 Annual,50101
CXUTOTALEXPLB0405M,2004,A01,2004 Annual,52764
CXUTOTALEXPLB0405M,2005,A01,2005 Annual,55854
CXUTOTALEXPLB0405M,2006,A01,2006 Annual,57563
CXUTOTALEXPLB0405M,2007,A01,2007 Annual,58331
CXUTOTALEXPLB0405M,2008,A01,2008 Annual,61179
CXUTOTALEXPLB0405M,2009,A01,2009 Annual,58708
CXUTOTALEXPLB0405M,2010,A01,2010 Annual,57788
CXUTOTALEXPLB0405M,2011,A01,2011 Annual,58050
CXUTOTALEXPLB0405M,2012,A01,2012 Annual,62103
CXUTOTALEXPLB0405M,2013,A01,2013 Annual,60524
CXUTOTALEXPLB0405M,2014,A01,2014 Annual,65651
CXUTOTALEXPLB0405M,2015,A01,2015 Annual,69753
CXUTOTALEXPLB0405M,2016,A01,2016 Annual,71166
CXUTOTALEXPLB0406M,2001,A01,2001 Annual,41462
CXUTOTALEXPLB0406M,2002,A01,2002 Annual,44330
CXUTOTALEXPLB0406M,2003,A01,2003 Annual,44191
CXUTOTALEXPLB0406M,2004,A01,2004 Annual,47299
CXUTOTALEXPLB0406M,2005,A01,2005 Annual,49592
CXUTOTALEXPLB0406M,2006,A01,2006 Annual,50789
CXUTOTALEXPLB0406M,2007,A01,2007 Annual,53786
CXUTOTALEXPLB0406M,2008,A01,2008 Annual,54783
CXUTOTALEXPLB0406M,2009,A01,2009 Annual,52463
CXUTOTALEXPLB0406M,2010,A01,2010 Annual,50900
CXUTOTALEXPLB0406M,2011,A01,2011 Annual,53616
CXUTOTALEXPLB0406M,2012,A01,2012 Annual,55636
CXUTOTALEXPLB0406M,2013,A01,2013 Annual,55892
CXUTOTALEXPLB0406M,2014,A01,2014 Annual,56267
CXUTOTALEXPLB0406M,2015,A01,2015 Annual,58781
CXUTOTALEXPLB0406M,2016,A01,2016 Annual,61346
CXUTOTALEXPLB0408M,2001,A01,2001 Annual,32023
CXUTOTALEXPLB0408M,2002,A01,2002 Annual,32243
CXUTOTALEXPLB0408M,2003,A01,2003 Annual,33629
CXUTOTALEXPLB0408M,2004,A01,2004 Annual,36512
CXUTOTALEXPLB0408M,2005,A01,2005 Annual,38573
CXUTOTALEXPLB0408M,2006,A01,2006 Annual,40960
CXUTOTALEXPLB0408M,2007,A01,2007 Annual,42262
CXUTOTALEXPLB0408M,2008,A01,2008 Annual,41433
CXUTOTALEXPLB0408M,2009,A01,2009 Annual,42957
CXUTOTALEXPLB0408M,2010,A01,2010 Annual,41434
CXUTOTALEXPLB0408M,2011,A01,2011 Annual,44646
CXUTOTALEXPLB0408M,2012,A01,2012 Annual,45968
CXUTOTALEXPLB0408M,2013,A01,2013 Annual,46757
CXUTOTALEXPLB0408M,2014,A01,2014 Annual,48885
CXUTOTALEXPLB0408M,2015,A01,2015 Annual,49477
CXUTOTALEXPLB0408M,2016,A01,2016 Annual,50873
CXUTOTALEXPLB0409M,2001,A01,2001 Annual,23099
CXUTOTALEXPLB0409M,2002,A01,2002 Annual,23759
CXUTOTALEXPLB0409M,2003,A01,2003 Annual,25016
CXUTOTALEXPLB0409M,2004,A01,2004 Annual,25763
CXUTOTALEXPLB0409M,2005,A01,2005 Annual,27018
CXUTOTALEXPLB0409M,2006,A01,2006 Annual,28904
CXUTOTALEXPLB0409M,2007,A01,2007 Annual,30414
CXUTOTALEXPLB0409M,2008,A01,2008 Annual,31692
CXUTOTALEXPLB0409M,2009,A01,2009 Annual,31676
CXUTOTALEXPLB0409M,2010,A01,2010 Annual,31529
CXUTOTALEXPLB0409M,2011,A01,2011 Annual,32688
CXUTOTALEXPLB0409M,2012,A01,2012 Annual,33530
CXUTOTALEXPLB0409M,2013,A01,2013 Annual,34382
CXUTOTALEXPLB0409M,2014,A01,2014 Annual,36673
CXUTOTALEXPLB0409M,2015,A01,2015 Annual,38123
CXUTOTALEXPLB0409M,2016,A01,2016 Annual,38691
