Series ID,Year,Period,Label,Value
CXUTOTALEXPLB0502M,2001,A01,2001 Annual,23507
CXUTOTALEXPLB0502M,2002,A01,2002 Annual,24190
CXUTOTALEXPLB0502M,2003,A01,2003 Annual,23657
CXUTOTALEXPLB0502M,2004,A01,2004 Annual,25423
CXUTOTALEXPLB0502M,2005,A01,2005 Annual,26773
CXUTOTALEXPLB0502M,2006,A01,2006 Annual,29374
CXUTOTALEXPLB0502M,2007,A01,2007 Annual,29285
CXUTOTALEXPLB0502M,2008,A01,2008 Annual,30120
CXUTOTALEXPLB0502M,2009,A01,2009 Annual,29405
CXUTOTALEXPLB0502M,2010,A01,2010 Annual,29149
CXUTOTALEXPLB0502M,2011,A01,2011 Annual,30613
CXUTOTALEXPLB0502M,2012,A01,2012 Annual,30716
CXUTOTALEXPLB0502M,2013,A01,2013 Annual,31248
CXUTOTALEXPLB0502M,2014,A01,2014 Annual,31987
CXUTOTALEXPLB0502M,2015,A01,2015 Annual,33508
CXUTOTALEXPLB0502M,2016,A01,2016 Annual,35199
CXUTOTALEXPLB0504M,2001,A01,2001 Annual,40359
CXUTOTALEXPLB0504M,2002,A01,2002 Annual,41797
CXUTOTALEXPLB0504M,2003,A01,2003 Annual,43693
CXUTOTALEXPLB0504M,2004,A01,2004 Annual,45855
CXUTOTALEXPLB0504M,2005,A01,2005 Annual,48492
CXUTOTALEXPLB0504M,2006,A01,2006 Annual,50652
CXUTOTALEXPLB0504M,2007,A01,2007 Annual,53091
CXUTOTALEXPLB0504M,2008,A01,2008 Annual,53320
CXUTOTALEXPLB0504M,2009,A01,2009 Annual,51650
CXUTOTALEXPLB0504M,2010,A01,2010 Annual,50967
CXUTOTALEXPLB0504M,2011,A01,2011 Annual,52385
CXUTOTALEXPLB0504M,2012,A01,2012 Annual,55068
CXUTOTALEXPLB0504M,2013,A01,2013 Annual,54568
CXUTOTALEXPLB0504M,2014,A01,2014 Annual,57429
CXUTOTALEXPLB0504M,2015,A01,2015 Annual,58668
CXUTOTALEXPLB0504M,2016,A01,2016 Annual,60787
CXUTOTALEXPLB0505M,2001,A01,2001 Annual,45508
CXUTOTALEXPLB0505M,2002,A01,2002 Annual,48098
CXUTOTALEXPLB0505M,2003,A01,2003 Annual,47406
CXUTOTALEXPLB0505M,2004,A01,2004 Annual,51503
CXUTOTALEXPLB0505M,2005,A01,2005 Annual,55096
CXUTOTALEXPLB0505M,2006,A01,2006 Annual,56382
CXUTOTALEXPLB0505M,2007,A01,2007 Annual,57326
CXUTOTALEXPLB0505M,2008,A01,2008 Annual,59488
CXUTOTALEXPLB0505M,2009,A01,2009 Annual,56645
CXUTOTALEXPLB0505M,2010,A01,2010 Annual,56413
CXUTOTALEXPLB0505M,2011,A01,2011 Annual,58388
CXUTOTALEXPLB0505M,2012,A01,2012 Annual,60943
CXUTOTALEXPLB0505M,2013,A01,2013 Annual,59029
CXUTOTALEXPLB0505M,2014,A01,2014 Annual,61526
CXUTOTALEXPLB0505M,2015,A01,2015 Annual,67702
CXUTOTALEXPLB0505M,2016,A01,2016 Annual,66974
CXUTOTALEXPLB0506M,2001,A01,2001 Annual,54395
CXUTOTALEXPLB0506M,2002,A01,2002 Annual,54033
CXUTOTALEXPLB0506M,2003,A01,2003 Annual,55201
CXUTOTALEXPLB0506M,2004,A01,2004 Annual,57866
CXUTOTALEXPLB0506M,2005,A01,2005 Annual,62215
CXUTOTALEXPLB0506M,2006,A01,2006 Annual,63897
CXUTOTALEXPLB0506M,2007,A01,2007 Annual,66476
CXUTOTALEXPLB0506M,2008,A01,2008 Annual,65955
CXUTOTALEXPLB0506M,2009,A01,2009 Annual,65503
CXUTOTALEXPLB0506M,2010,A01,2010 Annual,63268
CXUTOTALEXPLB0506M,2011,A01,2011 Annual,65597
CXUTOTALEXPLB0506M,2012,A01,2012 Annual,67622
CXUTOTALEXPLB0506M,2013,A01,2013 Annual,68299
CXUTOTALEXPLB0506M,2014,A01,2014 Annual,71481
CXUTOTALEXPLB0506M,2015,A01,2015 Annual,75276
CXUTOTALEXPLB0506M,2016,A01,2016 Annual,77775
CXUTOTALEXPLB0507M,2001,A01,2001 Annual,53805
CXUTOTALEXPLB0507M,2002,A01,2002 Annual,55501
CXUTOTALEXPLB0507M,2003,A01,2003 Annual,52565
CXUTOTALEXPLB0507M,2004,A01,2004 Annual,55468
CXUTOTALEXPLB0507M,2005,A01,2005 Annual,62618
CXUTOTALEXPLB0507M,2006,A01,2006 Annual,64654
CXUTOTALEXPLB0507M,2007,A01,2007 Annual,65042
CXUTOTALEXPLB0507M,2008,A01,2008 Annual,66262
CXUTOTALEXPLB0507M,2009,A01,2009 Annual,63439
CXUTOTALEXPLB0507M,2010,A01,2010 Annual,61086
CXUTOTALEXPLB0507M,2011,A01,2011 Annual,62429
CXUTOTALEXPLB0507M,2012,A01,2012 Annual,64963
CXUTOTALEXPLB0507M,2013,A01,2013 Annual,65129
CXUTOTALEXPLB0507M,2014,A01,2014 Annual,69505
CXUTOTALEXPLB0507M,2015,A01,2015 Annual,70972
CXUTOTALEXPLB0507M,2016,A01,2016 Annual,70867
