Series ID,Year,Period,Label,Value
CXUTOTALEXPLB0202M,2001,A01,2001 Annual,20517
CXUTOTALEXPLB0202M,2002,A01,2002 Annual,19699
CXUTOTALEXPLB0202M,2003,A01,2003 Annual,19272
CXUTOTALEXPLB0202M,2004,A01,2004 Annual,17029
CXUTOTALEXPLB0202M,2005,A01,2005 Annual,19684
CXUTOTALEXPLB0202M,2006,A01,2006 Annual,20709
CXUTOTALEXPLB0202M,2007,A01,2007 Annual,19697
CXUTOTALEXPLB0202M,2008,A01,2008 Annual,23036
CXUTOTALEXPLB0202M,2009,A01,2009 Annual,22731
CXUTOTALEXPLB0202M,2010,A01,2010 Annual,20748
CXUTOTALEXPLB0202M,2011,A01,2011 Annual,22960
CXUTOTALEXPLB0202M,2012,A01,2012 Annual,23462
CXUTOTALEXPLB0202M,2013,A01,2013 Annual,22830
CXUTOTALEXPLB0202M,2014,A01,2014 Annual,23570
CXUTOTALEXPLB0202M,2015,A01,2015 Annual,24632
CXUTOTALEXPLB0202M,2016,A01,2015 Annual,24632
CXUTOTALEXPLB0203M,2001,A01,2001 Annual,16625
CXUTOTALEXPLB0203M,2002,A01,2002 Annual,16488
CXUTOTALEXPLB0203M,2003,A01,2003 Annual,16013
CXUTOTALEXPLB0203M,2004,A01,2004 Annual,14596
CXUTOTALEXPLB0203M,2005,A01,2005 Annual,16111
CXUTOTALEXPLB0203M,2006,A01,2006 Annual,16751
CXUTOTALEXPLB0203M,2007,A01,2007 Annual,16623
CXUTOTALEXPLB0203M,2008,A01,2008 Annual,19125
CXUTOTALEXPLB0203M,2009,A01,2009 Annual,18032
CXUTOTALEXPLB0203M,2010,A01,2010 Annual,18297
CXUTOTALEXPLB0203M,2011,A01,2011 Annual,20884
CXUTOTALEXPLB0203M,2012,A01,2012 Annual,19783
CXUTOTALEXPLB0203M,2013,A01,2013 Annual,20697
CXUTOTALEXPLB0203M,2014,A01,2014 Annual,20818
CXUTOTALEXPLB0203M,2015,A01,2015 Annual,22842
CXUTOTALEXPLB0203M,2016,A01,2015 Annual,22842
CXUTOTALEXPLB0204M,2001,A01,2001 Annual,20642
CXUTOTALEXPLB0204M,2002,A01,2002 Annual,20918
CXUTOTALEXPLB0204M,2003,A01,2003 Annual,20061
CXUTOTALEXPLB0204M,2004,A01,2004 Annual,19444
CXUTOTALEXPLB0204M,2005,A01,2005 Annual,19335
