Series ID,Year,Period,Label,Value
LNU01300000,2002,M01,2002 Jan,66.2
LNU01300000,2002,M02,2002 Feb,66.6
LNU01300000,2002,M03,2002 Mar,66.6
LNU01300000,2002,M04,2002 Apr,66.4
LNU01300000,2002,M05,2002 May,66.5
LNU01300000,2002,M06,2002 Jun,67.1
LNU01300000,2002,M07,2002 Jul,67.2
LNU01300000,2002,M08,2002 Aug,66.8
LNU01300000,2002,M09,2002 Sep,66.6
LNU01300000,2002,M10,2002 Oct,66.6
LNU01300000,2002,M11,2002 Nov,66.3
LNU01300000,2002,M12,2002 Dec,66.2
LNU01300000,2003,M01,2003 Jan,66.1
LNU01300000,2003,M02,2003 Feb,66.2
LNU01300000,2003,M03,2003 Mar,66.2
LNU01300000,2003,M04,2003 Apr,66.2
LNU01300000,2003,M05,2003 May,66.2
LNU01300000,2003,M06,2003 Jun,67.0
LNU01300000,2003,M07,2003 Jul,66.8
LNU01300000,2003,M08,2003 Aug,66.3
LNU01300000,2003,M09,2003 Sep,65.9
LNU01300000,2003,M10,2003 Oct,66.1
LNU01300000,2003,M11,2003 Nov,66.1
LNU01300000,2003,M12,2003 Dec,65.8
LNU01300000,2004,M01,2004 Jan,65.7
LNU01300000,2004,M02,2004 Feb,65.7
LNU01300000,2004,M03,2004 Mar,65.8
LNU01300000,2004,M04,2004 Apr,65.7
LNU01300000,2004,M05,2004 May,65.8
LNU01300000,2004,M06,2004 Jun,66.5
LNU01300000,2004,M07,2004 Jul,66.8
LNU01300000,2004,M08,2004 Aug,66.2
LNU01300000,2004,M09,2004 Sep,65.7
LNU01300000,2004,M10,2004 Oct,66.0
LNU01300000,2004,M11,2004 Nov,66.1
LNU01300000,2004,M12,2004 Dec,65.8
LNU01300000,2005,M01,2005 Jan,65.4
LNU01300000,2005,M02,2005 Feb,65.6
LNU01300000,2005,M03,2005 Mar,65.6
LNU01300000,2005,M04,2005 Apr,65.8
LNU01300000,2005,M05,2005 May,66.0
LNU01300000,2005,M06,2005 Jun,66.5
LNU01300000,2005,M07,2005 Jul,66.8
LNU01300000,2005,M08,2005 Aug,66.5
LNU01300000,2005,M09,2005 Sep,66.1
LNU01300000,2005,M10,2005 Oct,66.2
LNU01300000,2005,M11,2005 Nov,66.1
LNU01300000,2005,M12,2005 Dec,65.9
LNU01300000,2006,M01,2006 Jan,65.5
LNU01300000,2006,M02,2006 Feb,65.7
LNU01300000,2006,M03,2006 Mar,65.8
LNU01300000,2006,M04,2006 Apr,65.8
LNU01300000,2006,M05,2006 May,66.0
LNU01300000,2006,M06,2006 Jun,66.7
LNU01300000,2006,M07,2006 Jul,66.9
LNU01300000,2006,M08,2006 Aug,66.5
LNU01300000,2006,M09,2006 Sep,66.1
LNU01300000,2006,M10,2006 Oct,66.4
LNU01300000,2006,M11,2006 Nov,66.4
LNU01300000,2006,M12,2006 Dec,66.3
LNU01300000,2007,M01,2007 Jan,65.9
LNU01300000,2007,M02,2007 Feb,65.8
LNU01300000,2007,M03,2007 Mar,65.9
LNU01300000,2007,M04,2007 Apr,65.7
LNU01300000,2007,M05,2007 May,65.8
LNU01300000,2007,M06,2007 Jun,66.6
LNU01300000,2007,M07,2007 Jul,66.8
LNU01300000,2007,M08,2007 Aug,66.1
LNU01300000,2007,M09,2007 Sep,66.0
LNU01300000,2007,M10,2007 Oct,66.0
LNU01300000,2007,M11,2007 Nov,66.1
LNU01300000,2007,M12,2007 Dec,65.9
LNU01300000,2008,M01,2008 Jan,65.7
LNU01300000,2008,M02,2008 Feb,65.5
LNU01300000,2008,M03,2008 Mar,65.7
LNU01300000,2008,M04,2008 Apr,65.7
LNU01300000,2008,M05,2008 May,66.0
LNU01300000,2008,M06,2008 Jun,66.6
LNU01300000,2008,M07,2008 Jul,66.8
LNU01300000,2008,M08,2008 Aug,66.4
